@reading|Amazing homes: unusual accommodation|SB pp. 26–27; TB pp. 20–21
houseboat|nhà thuyền
full name|họ và tên đầy đủ
at the end|ở cuối
a double D|hai chữ D liên tiếp
@listening|Restaurant and catching a bus|SB scripts p. 179, tracks 18–19; TB pp. 24–25
a good choice of|nhiều lựa chọn về
limited|hạn chế; ít lựa chọn
can't stand seafood|không chịu nổi hải sản
fish dishes|các món cá
on the menu|có trong thực đơn
steak|bít tết
beef|thịt bò
delicious|ngon
reasonable|hợp lý; phải chăng
the bill|hóa đơn thanh toán
including a tip|bao gồm tiền boa
per person|mỗi người
on my way home|trên đường về nhà
wait for the bus|đợi xe buýt
get a taxi|bắt taxi
due in about fifteen minutes|dự kiến đến sau khoảng mười lăm phút
run on time|chạy đúng giờ
railway station|ga tàu hỏa
pick you up|đón bạn
bus stop|điểm dừng xe buýt
traffic lights|đèn giao thông
to be exact|nói chính xác là
@listening|Sailing course and Orientation Week|SB scripts pp. 179–180, tracks 20–21; TB pp. 25–26
sailing course|khóa học chèo thuyền buồm
harbour|bến cảng
fresh sea air|không khí biển trong lành
time flew by|thời gian trôi qua rất nhanh
instructor|người hướng dẫn
safety rules|quy tắc an toàn
open the sails|căng buồm
turn the boat|cho thuyền đổi hướng
calm|êm; lặng sóng
lose my balance|mất thăng bằng
run courses|tổ chức các khóa học
once a month|mỗi tháng một lần
sign up|đăng ký tham gia
spaces available|chỗ còn trống
course leader|người phụ trách khóa học
experienced sailor|người đi thuyền buồm có kinh nghiệm
give him a ring|gọi điện cho anh ấy
Orientation Week|tuần lễ định hướng cho tân sinh viên
make friends|kết bạn
find our way around|làm quen đường đi, tìm được lối đi
get around the city|di chuyển quanh thành phố
walking tour|chuyến tham quan đi bộ
bike tour|chuyến tham quan bằng xe đạp
on the list|có tên trong danh sách
cycle hire shop|cửa hàng cho thuê xe đạp
electric bike|xe đạp điện
the whole group|cả nhóm
bring along|mang theo
helmet|mũ bảo hiểm
lock|khóa xe
park our bikes safely|đỗ xe đạp an toàn
take a break|nghỉ giải lao
as far as the harbour|đến tận bến cảng
That's a date!|Vậy hẹn thế nhé!
@speaking|Home town: location, places and atmosphere|SB pp. 39–43, tracks 22–25; TB pp. 26–28
home town|quê nhà; thành phố quê hương
climate|khí hậu
location|vị trí
colourful|nhiều màu sắc
tourist area|khu du lịch
in the south|ở phía nam
indoor|ở trong nhà
incredible|đáng kinh ngạc
huge|rất lớn
in the north-east|ở phía đông bắc
on the coast|ở ven biển
inland|trong nội địa
in the centre of town|ở trung tâm thị trấn
on the north side of the square|ở phía bắc quảng trường
historic town hall|tòa thị chính có giá trị lịch sử
in front of|ở phía trước
opposite|đối diện
go over the bridge|đi qua cầu
art gallery|phòng trưng bày nghệ thuật
interesting exhibitions|những cuộc triển lãm thú vị
shopping mall|trung tâm mua sắm
meet up with friends|gặp gỡ bạn bè
next to|bên cạnh
local football team|đội bóng địa phương
outdoor pool|bể bơi ngoài trời
chilly|khá lạnh; se lạnh
busy and crowded|nhộn nhịp và đông đúc
hot and humid|nóng và ẩm
cool and mild|mát mẻ và ôn hòa
dirty and polluted|bẩn và ô nhiễm
lively and exciting|sôi động và thú vị
tall and high-rise buildings|các tòa nhà cao tầng
industrial area|khu công nghiệp
financial area|khu tài chính
ancient|cổ xưa
magnificent|tráng lệ
narrow|hẹp
enormous|rất lớn; khổng lồ
be situated on|nằm ở; tọa lạc bên
be located across from|nằm đối diện với
change over the years|thay đổi qua năm tháng
look for work|tìm việc làm
be keen on sport|rất thích thể thao
ancient castle|lâu đài cổ
traffic jams|tình trạng tắc đường
public transport|phương tiện giao thông công cộng
the underground|tàu điện ngầm
places of interest|những địa điểm đáng tham quan
@speaking|Useful home-town answer frames|Bổ sung theo mục tiêu SB pp. 39–43; TB pp. 26–28
I was born and raised in ...|Tôi sinh ra và lớn lên ở ...|structure|I was born and raised in a coastal town.
What I like most about my home town is ...|Điều tôi thích nhất ở quê mình là ...|structure|What I like most about my home town is its relaxed atmosphere.
It is within walking distance of ...|Nơi đó nằm trong khoảng có thể đi bộ từ ...|structure|The park is within walking distance of my house.
It used to be ..., but now ...|Trước đây nơi đó ..., nhưng bây giờ ...|structure|It used to be quiet, but now it is quite busy.
Over the past ten years, ... has become ...|Trong mười năm qua, ... đã trở nên ...|structure|Over the past ten years, my town has become more modern.
a strong sense of community|cảm giác gắn kết cộng đồng mạnh mẽ|collocation
a relaxed pace of life|nhịp sống thư thái|collocation
easy access to public transport|dễ tiếp cận phương tiện công cộng|collocation
@writing|Maps: facilities and location|SB pp. 30–34; TB pp. 21–23
university campus|khuôn viên trường đại học
halls of residence|ký túc xá sinh viên
lecture theatres|giảng đường
laboratories|các phòng thí nghiệm
Students' Union|hội sinh viên; tòa nhà hội sinh viên
recreation area|khu vui chơi, giải trí
football pitch|sân bóng đá
table tennis tables|bàn bóng bàn
car park|bãi đỗ xe
tennis courts|sân quần vợt
seating areas|các khu vực có chỗ ngồi
in the top right-hand corner|ở góc trên bên phải
on the left side of|ở phía bên trái của
between ... and ...|giữa ... và ...
in the middle of|ở giữa
towards the bottom of|về phía dưới của
to the right of|ở bên phải của
in the past|trong quá khứ
during this period|trong giai đoạn này
@writing|Maps: describing changes|SB pp. 31–34; TB pp. 22–23
relocate|di dời sang vị trí khác
increase in size|tăng về diện tích; mở rộng
demolish|phá dỡ
expand|mở rộng
develop|phát triển; xây dựng thêm
create a recreation area|tạo một khu vui chơi, giải trí
in their place|tại vị trí trước đó của chúng
cut down trees|chặt cây
dig a pond|đào ao
plant trees|trồng cây
arts centre|trung tâm nghệ thuật
concert hall|phòng hòa nhạc
meeting rooms|phòng họp
information desk|quầy thông tin
wasteland|đất bỏ hoang
exhibition area|khu triển lãm
outdoor performance area|khu biểu diễn ngoài trời
whereas|trong khi đó; còn
however|tuy nhiên
in addition|ngoài ra
what is more|hơn nữa
it is clear that|có thể thấy rõ rằng
@writing|Useful map-report structures|Bổ sung theo mục tiêu SB pp. 30–34; TB pp. 21–23
The maps show how ... changed between ... and ...|Hai bản đồ thể hiện ... đã thay đổi như thế nào từ ... đến ...|structure|The maps show how the campus changed between 2005 and 2025.
Overall, the area became more ...|Nhìn chung, khu vực này trở nên ... hơn.|structure|Overall, the area became more developed.
... was replaced by ...|... đã được thay thế bằng ...|structure|The car park was replaced by a garden.
... was converted into ...|... đã được chuyển đổi thành ...|structure|The warehouse was converted into a library.
... remained unchanged.|... vẫn không thay đổi.|structure|The main entrance remained unchanged.
... was extended to the north.|... đã được mở rộng về phía bắc.|structure|The library was extended to the north.
... was built on the site of ...|... đã được xây trên khu đất trước đây là ...|structure|A café was built on the site of the old gym.
