@reading|Unusual sports|SB pp. 107–109; TB pp. 56–57
be tired of|chán; mệt mỏi với
conflict with the values of|mâu thuẫn với các giá trị của
focus on the individual|tập trung vào từng cá nhân
famous monuments|các công trình nổi tiếng
English translation|bản dịch tiếng Anh
similarities and differences|những điểm giống và khác nhau
refer to the same activity|chỉ cùng một hoạt động
@listening|Directions to friends' houses|SB scripts pp. 184–185, tracks 49–50; TB pp. 59–60
turn right onto|rẽ phải vào
the bottom of the road|cuối đường
on your left|ở bên trái bạn
turn left at the traffic lights|rẽ trái tại đèn giao thông
take a sharp right|rẽ ngoặt sang phải
go straight on|đi thẳng
past the surgery|qua phòng khám
follow this road|đi theo đường này
reach a roundabout|đến một vòng xuyến
take the first turning on the left|rẽ vào lối đầu tiên bên trái
approach the crossroads|đến gần ngã tư
on the corner|ở góc đường
collect her on the way|đón cô ấy trên đường
a set of directions|một loạt chỉ dẫn đường đi
instead of turning left|thay vì rẽ trái
zebra crossing|vạch sang đường cho người đi bộ
drive along|lái xe dọc theo
after the bridge|sau cây cầu
pick up|đón ai bằng xe
go straight ahead|đi thẳng về phía trước
@listening|Meeting at the Arena|SB scripts p. 185, track 51; TB p. 60
make arrangements|sắp xếp kế hoạch
concert venue|địa điểm tổ chức hòa nhạc
give someone a lift|cho ai đi nhờ xe
meet up for a coffee|gặp nhau uống cà phê
main entrance|lối vào chính
a fountain in the middle|một đài phun nước ở giữa
live music|nhạc biểu diễn trực tiếp
beyond the square|qua phía bên kia quảng trường
opposite these|đối diện những nơi này
exhibition centre|trung tâm triển lãm
at the end of|ở cuối
art gallery|phòng trưng bày nghệ thuật
go through the shopping centre|đi xuyên qua trung tâm mua sắm
tempting|hấp dẫn; dễ khiến muốn ghé vào
beside the entrance|bên cạnh lối vào
make it for seven|đến kịp lúc bảy giờ
it's been a while|đã lâu rồi không gặp
@listening|Activity summer camp|SB scripts p. 185, track 52; TB p. 61
activity summer camp|trại hè hoạt động
on offer|được cung cấp; có sẵn để lựa chọn
outdoor theatre|sân khấu ngoài trời
campsite|khu cắm trại
on the edge of the lake|ở ven hồ
kayaking centre|trung tâm chèo thuyền kayak
reserved for diving|dành riêng cho hoạt động lặn
be permitted|được cho phép
racket sports|các môn thể thao dùng vợt
practise badminton|tập cầu lông
outdoor tennis courts|các sân quần vợt ngoài trời
dining hall|nhà ăn
lake shore|bờ hồ
draw your attention to|hướng sự chú ý của bạn đến
for safety reasons|vì lý do an toàn
an instructor is present|có người hướng dẫn ở đó
a track for cycling|đường dành cho xe đạp
runners and cyclists|người chạy bộ và người đi xe đạp
organise tournaments|tổ chức các giải đấu
take part in a rugby game|tham gia một trận bóng bầu dục
archery field|khu bắn cung
surrounded by trees|được cây cối bao quanh
hire equipment|thuê dụng cụ
the weather turns bad|thời tiết trở nên xấu
@listening|Pine Woods Centre plans|SB scripts p. 185, track 53; TB pp. 61–62
council|hội đồng địa phương
people of all ages|mọi người ở mọi lứa tuổi
brave and fearless|dũng cảm và không sợ hãi
adventure playgrounds|các khu vui chơi mạo hiểm
a feeding area|khu cho động vật ăn
farm animals|động vật trang trại
cycle trails|các đường mòn dành cho xe đạp
overall layout|bố cục tổng thể
gift shop|cửa hàng quà lưu niệm
picnic field|bãi đất dành cho dã ngoại
barbecue area|khu nướng thịt ngoài trời
bands performing|các ban nhạc đang biểu diễn
a path winding through the forest|con đường uốn lượn xuyên rừng
adventure apparatus|thiết bị vui chơi mạo hiểm
rope swings|xích đu dây
rope bridges|cầu dây
tunnels|đường hầm
zip wires|dây trượt zipline
forest floor|nền rừng
aged fifteen and over|từ mười lăm tuổi trở lên
a fence around it|hàng rào bao quanh
indoor play area|khu vui chơi trong nhà
feed the animals|cho động vật ăn
directly opposite|ngay đối diện
be approved|được chấp thuận
in the not too distant future|trong tương lai không xa
@speaking|Sports, hobbies and feelings|SB pp. 121–125; TB pp. 62–63
play soccer|chơi bóng đá
do martial arts|tập võ
go hiking|đi bộ đường dài
go travelling|đi du lịch
make jewellery|làm đồ trang sức
sewing|việc may vá
amusing|vui nhộn
enjoyable|thú vị; mang lại niềm vui
peaceful and relaxing|yên bình và thư giãn
be excellent at|rất giỏi về
feel miserable|cảm thấy khổ sở
an exhausting sport|một môn thể thao rất tốn sức
frightening|đáng sợ
harmful|có hại
stressful|gây căng thẳng
be hopeless at|rất kém về
take up a hobby|bắt đầu một sở thích
ballroom dancing|khiêu vũ có đôi theo các điệu chuẩn
give myself a challenge|đặt ra thử thách cho bản thân
do ballet|tập múa ba-lê
tap dancing|nhảy thiết hài
learn new steps|học các bước nhảy mới
dance partner|bạn nhảy
play the acoustic guitar|chơi đàn ghi-ta mộc
read music|đọc bản nhạc
play the piano|chơi đàn piano
focus on my studies|tập trung vào việc học
prepare for my exams|chuẩn bị cho các kỳ thi
pay for lessons|trả tiền học
change my life in a positive way|thay đổi cuộc sống của tôi theo hướng tích cực
start my own band|thành lập ban nhạc riêng
perform live on stage|biểu diễn trực tiếp trên sân khấu
try new things|thử những điều mới
windsurfing|môn lướt ván buồm
be a big fan of|rất yêu thích
water sports|các môn thể thao dưới nước
@speaking|Useful hobby-answer frames|Bổ sung theo mục tiêu SB pp. 121–125; TB pp. 62–63
I've always wanted to try ...|Tôi luôn muốn thử ...|structure|I've always wanted to try kayaking.
The main reason I haven't started is ...|Lý do chính tôi chưa bắt đầu là ...|structure|The main reason I haven't started is the cost of lessons.
I would need someone to show me how to ...|Tôi sẽ cần ai đó chỉ cách ...|structure|I would need someone to show me how to use the equipment.
If I had more free time, I would ...|Nếu có nhiều thời gian rảnh hơn, tôi sẽ ...|structure|If I had more free time, I would join a local club.
keep fit|giữ cơ thể khỏe mạnh|collocation
relieve stress|giảm căng thẳng|collocation
build stamina|tăng sức bền|collocation
develop a new skill|phát triển một kỹ năng mới|collocation
@writing|Leisure, active lifestyles and school sports|SB pp. 112–116; TB pp. 57–59
go for a run|đi chạy bộ
go to the cinema|đi xem phim ở rạp
watch a film|xem một bộ phim
visit friends|thăm bạn bè
play sports|chơi thể thao
join a club|tham gia câu lạc bộ
go for a walk|đi dạo
go to the gym|đi tập ở phòng gym
spend free time actively|sử dụng thời gian rảnh một cách năng động
physical activities|các hoạt động thể chất
children's safety|sự an toàn của trẻ em
take a driving test|thi bằng lái xe
compared with the past|so với trước đây
nowadays|ngày nay
in today's world|trong thế giới ngày nay
several years ago|vài năm trước
the pace of life|nhịp sống
on the other hand|mặt khác
the main reason|lý do chính
planned activities|các hoạt động được lên kế hoạch
develop their skills|phát triển kỹ năng của họ
world class|đạt đẳng cấp thế giới
get into trouble|vướng vào rắc rối
become stressed|trở nên căng thẳng
use their imaginations|sử dụng trí tưởng tượng
likes and dislikes|những điều thích và không thích
have a balance|có sự cân bằng
compulsory sports lessons|các tiết thể thao bắt buộc
medical care|chăm sóc y tế
mental well-being|sức khỏe tinh thần
a waste of valuable study time|sự lãng phí thời gian học quý báu
sports facilities|cơ sở vật chất phục vụ thể thao
learn discipline|rèn tính kỷ luật
work as a team|làm việc theo nhóm
@writing|Useful leisure essay structures|Bổ sung theo mục tiêu SB pp. 112–116; TB pp. 57–59
People are less ... than they used to be.|Mọi người ít ... hơn so với trước đây.|structure|People are less physically active than they used to be.
While some people argue that ..., I believe ...|Trong khi một số người cho rằng ..., tôi tin ...|structure|While some people argue that sports waste time, I believe they support learning.
One reason for this is that ...|Một lý do cho điều này là ...|structure|One reason for this is that exercise helps children concentrate.
This allows children to ...|Điều này cho phép trẻ ...|structure|This allows children to develop social skills.
A balance should be struck between ... and ...|Cần có sự cân bằng giữa ... và ...|structure|A balance should be struck between organised activities and free play.
regular physical activity|hoạt động thể chất thường xuyên|collocation
a sedentary lifestyle|lối sống ít vận động|collocation
@speaking|More ways to describe leisure activities|SB pp. 121–122; TB p. 62
great|tuyệt vời
exciting|thú vị; gây hào hứng
brilliant|rất hay; tuyệt vời
healthy|lành mạnh; có lợi cho sức khỏe
dangerous|nguy hiểm
tiring|gây mệt mỏi
useless|vô ích
