@reading|Globalisation of education|SB pp. 45–47; TB pp. 29–30
globalisation|toàn cầu hóa
careers|các nghề nghiệp
lecturers|giảng viên
work experience|kinh nghiệm làm việc
at different stages of their lives|ở các giai đoạn khác nhau của cuộc đời
@listening|A new job in a department store|SB scripts pp. 180–181, tracks 26–27; TB pp. 33–34
take a seat|mời ngồi
delighted|rất vui mừng
store assistant|nhân viên bán hàng
look forward to the challenge|mong chờ thử thách sắp tới
finish a course|hoàn thành một khóa học
information technology|công nghệ thông tin
computing and phones section|khu máy tính và điện thoại
department store|cửa hàng bách hóa
audio equipment|thiết bị âm thanh
be based in|làm việc tại; được bố trí ở
a wider range of|nhiều loại ... đa dạng hơn
computer equipment|thiết bị máy tính
smart watches|đồng hồ thông minh
attract customers|thu hút khách hàng
a completely new look|diện mạo hoàn toàn mới
rename|đổi tên
be known as|được gọi là
move on|chuyển sang phần tiếp theo
@listening|Booking a food photography course|SB scripts pp. 180–181, tracks 26, 28; TB pp. 33–35
book a place|đăng ký giữ một chỗ
food photography|nhiếp ảnh món ăn
food technology|công nghệ thực phẩm
in luck|gặp may
spaces left|những chỗ còn lại
take bookings|nhận đăng ký; nhận đặt chỗ
limited to twelve participants|giới hạn ở mười hai người tham gia
check the details|kiểm tra thông tin chi tiết
leaflet|tờ thông tin; tờ rơi
an early start|việc bắt đầu từ sớm
a couple of hours|khoảng hai giờ
according to|theo như
digital camera|máy ảnh kỹ thuật số
the basics of|kiến thức cơ bản về
camera angles|các góc chụp
close-up shots|ảnh chụp cận cảnh
wide-angle shots|ảnh chụp góc rộng
shots taken from above|ảnh chụp từ trên xuống
edit pictures|chỉnh sửa ảnh
the purpose of the workshop|mục đích của buổi học thực hành
in the first place|ngay từ đầu
hands-on session|buổi học thực hành trực tiếp
on location|tại địa điểm thực tế
just round the corner|ở ngay gần đó
have the opportunity to|có cơ hội làm gì
practise taking photographs|luyện chụp ảnh
a practical course|một khóa học thực hành
the full fee|toàn bộ học phí
a light lunch|bữa trưa nhẹ
refreshments|đồ ăn nhẹ và thức uống
bring along|mang theo
drinks and snacks|đồ uống và đồ ăn vặt
confirm your place|xác nhận chỗ đăng ký của bạn
@speaking|Work, study and feelings|SB pp. 58–61, tracks 29–30; TB pp. 35–36
emergency services|các lực lượng ứng cứu khẩn cấp
farming|nghề nông
research and development|nghiên cứu và phát triển
entertainment|ngành giải trí
travel and transport|đi lại và vận tải
tourism|ngành du lịch
feel amazed|cảm thấy kinh ngạc
an amazing job|một công việc tuyệt vời
feel thrilled|cảm thấy rất hào hứng
a thrilling experience|một trải nghiệm đầy phấn khích
feel bored|cảm thấy chán
a boring task|một nhiệm vụ nhàm chán
feel challenged|cảm thấy được thử thách
a challenging job|một công việc đầy thử thách
feel fascinated|cảm thấy rất hứng thú
a fascinating subject|một môn học hấp dẫn
feel tired|cảm thấy mệt
a tiring day|một ngày mệt mỏi
feel embarrassed|cảm thấy ngượng ngùng
an embarrassing experience|một trải nghiệm gây ngượng ngùng
give a presentation|thuyết trình
in front of my colleagues|trước mặt các đồng nghiệp
work long hours|làm việc nhiều giờ
a part-time course|một khóa học bán thời gian
fashion and textiles|thời trang và dệt may
in my third year|đang học năm thứ ba
wool and leather|len và da thuộc
be made out of|được làm từ
computer software|phần mềm máy tính
create new designs|tạo các mẫu thiết kế mới
shades of colour|các sắc độ màu
fashion photographer|nhiếp ảnh gia thời trang
get some experience|tích lũy kinh nghiệm
fashion shows|các buổi trình diễn thời trang
my dream will come true|ước mơ của tôi sẽ thành hiện thực
@speaking|Learning something new|SB pp. 62–63, track 31; TB pp. 36–37
introduce your talk|mở đầu bài nói
make notes|ghi chú
cover all the points|đề cập đủ mọi ý
I'd like to tell you about ...|Tôi muốn kể với bạn về ...|structure
an active and sporty person|một người năng động và thích thể thao
learn to ski|học trượt tuyết
chair lift|ghế cáp treo
nursery slope|dốc trượt dành cho người mới học
fall over|ngã
keep my balance|giữ thăng bằng
learn in a group|học theo nhóm
learn individually|học riêng; học cá nhân
win a competition|thắng một cuộc thi
a silver cup|cúp bạc
learning experience|trải nghiệm học tập
ski downhill|trượt tuyết xuống dốc
for the very first time|lần đầu tiên trong đời
feel proud of myself|cảm thấy tự hào về bản thân
the bottom of the slope|chân dốc
@speaking|Useful study and experience frames|Bổ sung theo mục tiêu SB pp. 58–63; TB pp. 35–37
I'm currently studying ... at ...|Hiện tôi đang học ... tại ...|structure|I'm currently studying business at a local university.
The most rewarding part of my course is ...|Phần đáng quý nhất trong khóa học của tôi là ...|structure|The most rewarding part of my course is solving real problems.
At first, I found it difficult to ...|Lúc đầu, tôi thấy khó để ...|structure|At first, I found it difficult to speak in front of others.
With practice, I gradually became more ...|Nhờ luyện tập, tôi dần trở nên ... hơn.|structure|With practice, I gradually became more confident.
This experience taught me how to ...|Trải nghiệm này đã dạy tôi cách ...|structure|This experience taught me how to work in a team.
gain practical experience|tích lũy kinh nghiệm thực tế|collocation
develop transferable skills|phát triển kỹ năng có thể áp dụng trong nhiều công việc|collocation
step outside my comfort zone|bước ra khỏi vùng an toàn của bản thân|collocation
@writing|Charts: changes and education data|SB pp. 49–53; TB pp. 30–32
line graph|biểu đồ đường
bar chart|biểu đồ cột
pie chart|biểu đồ tròn
table|bảng số liệu
an upward trend|xu hướng tăng
a steady rise|sự gia tăng đều đặn
rise gradually|tăng dần
increase from ... to ...|tăng từ ... lên ...
increase by ...|tăng thêm một lượng ...
a decrease in|sự giảm xuống về
a fall followed by a rise|một đợt giảm tiếp theo là một đợt tăng
drop|giảm; sự sụt giảm
decline|giảm; sự suy giảm
growth|sự tăng trưởng
throughout the period|trong suốt giai đoạn
at all points|ở tất cả các thời điểm
return to|trở về mức
recent graduates|những người mới tốt nghiệp đại học
non-graduates|những người không có bằng đại học
unemployed|thất nghiệp
out of work|không có việc làm
full-time education|giáo dục toàn thời gian
employer-funded training|đào tạo do người sử dụng lao động tài trợ
participation|sự tham gia
new entrants|những người mới tham gia; mới nhập học
teacher training programmes|các chương trình đào tạo giáo viên
percentage|tỷ lệ phần trăm
proportion|tỷ trọng; tỷ lệ
over a third|hơn một phần ba
a little under a third|ít hơn một phần ba một chút
about one in ten|khoảng một trong mười
just under a sixth|chỉ dưới một phần sáu một chút
in second place|ở vị trí thứ hai
the least popular|ít phổ biến nhất
literacy rate|tỷ lệ biết đọc, biết viết
region and gender|vùng địa lý và giới tính
vertical axis|trục tung
horizontal axis|trục hoành
make comparisons|đưa ra các so sánh
the greatest difference|sự chênh lệch lớn nhất
@writing|Accurate data-report structures|Bổ sung theo mục tiêu SB pp. 49–53; TB pp. 30–32
The chart compares ... in terms of ...|Biểu đồ so sánh ... xét về ...|structure|The chart compares seven regions in terms of literacy rates.
Overall, ... showed an upward trend.|Nhìn chung, ... cho thấy xu hướng tăng.|structure|Overall, the proportion of graduates showed an upward trend.
... accounted for ...% of the total.|... chiếm ...% tổng số.|structure|Full-time students accounted for 60% of the total.
... remained stable at ...|... giữ ổn định ở mức ...|structure|The rate remained stable at 20%.
... rose by ... percentage points.|... tăng thêm ... điểm phần trăm.|structure|The rate rose from 20% to 25%, an increase of five percentage points.
... was twice as high as ...|... cao gấp đôi ...|structure|The male unemployment rate was twice as high as the female rate.
... was higher than ..., at ...% and ...%, respectively.|... cao hơn ..., lần lượt ở mức ...% và ...%.|structure|The rate for men was higher than that for women, at 80% and 60%, respectively.
@speaking|Jobs and areas of study|Bổ sung ứng dụng từ SB pp. 54–55, 58–61; TB pp. 33, 35–36
hotel and catering|ngành khách sạn và dịch vụ ăn uống
construction|ngành xây dựng
health care|chăm sóc sức khỏe
sports and leisure|thể thao và giải trí
art and design|mỹ thuật và thiết kế
retail|ngành bán lẻ
chef|đầu bếp
building engineering|kỹ thuật xây dựng
badminton coach|huấn luyện viên cầu lông
computing|ngành máy tính; tin học
medicine|ngành y
graphic designer|nhà thiết kế đồ họa
web designer|nhà thiết kế web
shop management|quản lý cửa hàng
fitness training|tập luyện thể lực
not very exciting|không thú vị lắm
interesting|thú vị
