@reading|Food culture shock|SB pp. 65–67; TB pp. 38–39
eat with your fingers|ăn bằng tay
make mistakes|mắc lỗi
working-class|thuộc tầng lớp lao động
make healthy eating fashionable|khiến việc ăn lành mạnh trở thành xu hướng
school meals|bữa ăn ở trường
a series of shows|một loạt chương trình
diet food|đồ ăn phục vụ chế độ giảm cân
lose weight|giảm cân
unhealthy food|thức ăn không lành mạnh
a competitive element|yếu tố cạnh tranh
entertainment|sự giải trí
contestant|thí sinh
be eliminated|bị loại
judges|các giám khảo
personalities|tính cách; cá tính
ready-made meals|bữa ăn chế biến sẵn
takeaway meals|đồ ăn mua mang về
not necessarily mean|không nhất thiết có nghĩa là
produce different results|cho ra các kết quả khác nhau
influence viewers|ảnh hưởng đến khán giả
influential|có sức ảnh hưởng
restaurant-style food|đồ ăn theo phong cách nhà hàng
have an important role to play|có vai trò quan trọng
on a regular basis|một cách thường xuyên
food preparation|việc chuẩn bị thức ăn
school curriculum|chương trình học ở trường
ensure|bảo đảm
@listening|Planning a meal and food shopping|SB scripts pp. 181–182, tracks 32–34; TB pp. 41–42
prepare a meal|chuẩn bị một bữa ăn
too spicy|quá cay
roast chicken|gà quay; gà nướng
fairly simple to prepare|khá đơn giản để chế biến
boil potatoes|luộc khoai tây
serve them with fish|dọn chúng kèm với cá
fry potatoes|chiên khoai tây
oil|dầu ăn
take ages|mất rất nhiều thời gian
bake potatoes in the oven|nướng khoai tây trong lò
strawberries|dâu tây
cucumbers|dưa chuột
carrots and peas|cà rốt và đậu Hà Lan
on the way back|trên đường quay về
cakes and pastries|bánh ngọt và bánh làm từ bột nhào
lamb|thịt cừu
@listening|Restaurant recommendations|SB scripts p. 182, track 35; TB pp. 42–43
food critic|nhà phê bình ẩm thực
tips and recommendations|lời khuyên và gợi ý
peppercorns|hạt tiêu
a typical French dish|một món ăn điển hình của Pháp
steakhouse|nhà hàng chuyên bít tết
a wide variety of dishes|nhiều món ăn đa dạng
one word of warning|một lời nhắc cần lưu ý
get really busy|trở nên rất đông khách
lobster|tôm hùm
vegetarian dishes|các món chay
low-cost|có giá thấp
a special treat|một dịp tự thưởng đặc biệt
on a budget|có ngân sách hạn chế
a fashionable restaurant|một nhà hàng được ưa chuộng
at a reasonable price|với giá hợp lý
specialise in|chuyên về
lasagne|mì lá nướng kiểu Ý
food for thought|điều đáng suy ngẫm
@listening|East Asian cuisines|SB scripts p. 182, track 36; TB pp. 43–44
chopsticks|đũa
knives and forks|dao và nĩa
stainless steel|thép không gỉ
rough at the end|nhám ở đầu
emperor|hoàng đế
poison|chất độc
tricky to use|khó sử dụng
bone and ivory|xương và ngà
in general terms|nói một cách khái quát
cuisines|các nền ẩm thực
red peppers|ớt đỏ
influences from|ảnh hưởng từ
tempura|món tẩm bột chiên của Nhật
play an important role|đóng vai trò quan trọng
due to the lack of space|do thiếu không gian
keep animals|nuôi động vật
barbecues|các bữa; món nướng ngoài trời
form the basis of|tạo thành nền tảng của
@listening|A food programme in Beijing|SB scripts p. 182, track 37; TB p. 44
traditional dish|món ăn truyền thống
kebabs|thịt hoặc rau xiên nướng
tasty snacks|đồ ăn nhẹ ngon miệng
street food|đồ ăn đường phố
school pupils|học sinh
jellyfish|sứa
texture|kết cấu; cảm giác của thức ăn khi nhai
not taste of much|không có mùi vị rõ rệt
a strong taste|vị đậm
hotpot|lẩu
hotplate|bếp điện; đĩa gia nhiệt
raw food|thực phẩm sống
sociable|có tính giao lưu; tạo dịp trò chuyện
noodles and dumplings|mì và bánh bột có nhân, như há cảo
one of the highlights|một trong những điểm nổi bật
wheat flour|bột mì
make noodles by hand|làm mì bằng tay
a skilful chef|một đầu bếp khéo tay
basic ingredients|nguyên liệu cơ bản
flexible|linh hoạt; dễ thay đổi
raw prawns|tôm sống
run out of time|hết thời gian
@speaking|Describing food and ingredients|SB pp. 80–85, tracks 38–39; TB pp. 44–46
cabbage|bắp cải
ginger|gừng
chillies|ớt
soy sauce|nước tương
spices|gia vị
garlic|tỏi
quick to make|làm nhanh
convenient|tiện lợi
fresh and healthy|tươi và lành mạnh
not keen on|không thích lắm
can't stand the texture|không chịu được cảm giác khi nhai
too chewy|quá dai
risotto|cơm Ý nấu sệt với nước dùng
olive oil|dầu ô liu
broth|nước dùng
saffron|nhụy hoa nghệ tây
creamy|béo mịn
a starter|món khai vị
the main meal|bữa chính; món chính trong ngữ cảnh này
waste food|lãng phí thức ăn
remind me of home|gợi tôi nhớ về nhà
be fond of cooking|thích nấu ăn
cheer me up|làm tôi vui lên
feel homesick|cảm thấy nhớ nhà
be proud of our cuisine|tự hào về nền ẩm thực của chúng tôi
juicy|mọng nước
slowly grilled|được nướng chậm
serve with rice|ăn kèm với cơm
filling|no bụng; giúp no lâu
toppings|nguyên liệu phủ lên trên món ăn
chop vegetables|thái rau
economical|tiết kiệm chi phí
a special occasion|một dịp đặc biệt
an enjoyable meal|một bữa ăn thú vị
@speaking|Useful food-answer structures|Bổ sung theo mục tiêu SB pp. 80–85; TB pp. 44–46
It is made with ... and served with ...|Món đó được làm với ... và dọn kèm ...|structure|It is made with rice noodles and served with fresh herbs.
What makes it special is ...|Điều khiến món đó đặc biệt là ...|structure|What makes it special is the rich broth.
I would recommend it to anyone who enjoys ...|Tôi sẽ giới thiệu món này cho bất kỳ ai thích ...|structure|I would recommend it to anyone who enjoys spicy food.
It brings back memories of ...|Món đó gợi lại những kỷ niệm về ...|structure|It brings back memories of family gatherings.
a balanced diet|chế độ ăn cân bằng|collocation
a home-cooked meal|bữa ăn nấu tại nhà|collocation
rich in flavour|đậm đà hương vị|collocation
fresh local ingredients|nguyên liệu địa phương tươi ngon|collocation
@writing|Two charts: proportions and approximate figures|SB pp. 70–74; TB pp. 39–41
the highest proportion|tỷ lệ cao nhất
a tiny proportion|một tỷ lệ rất nhỏ
just over a third|hơn một phần ba một chút
approximately a quarter|khoảng một phần tư
one in ten|một trong mười; một phần mười
the least popular type|loại ít được ưa chuộng nhất
slightly more popular than|phổ biến hơn một chút so với
fewer people|ít người hơn
less land|ít diện tích đất hơn
just under|chỉ dưới mức ... một chút
a little over|hơn ... một chút
around half a million|khoảng nửa triệu
between ... and ...|trong khoảng từ ... đến ...
market share|thị phần
a rising trend|xu hướng tăng
from ... onwards|từ ... trở đi
remain stable|duy trì ổn định
a significant increase|sự tăng đáng kể
overweight|thừa cân
obese|béo phì
severely obese|béo phì nghiêm trọng
underweight|thiếu cân
adult population|dân số trưởng thành
weight range|khoảng cân nặng; nhóm cân nặng
at a slightly lower rate|với tốc độ thấp hơn một chút
more or less equally|gần như đồng đều
@writing|Useful two-chart comparison frames|Bổ sung theo mục tiêu SB pp. 70–74; TB pp. 39–41
The pie chart shows ..., while the bar chart illustrates ...|Biểu đồ tròn thể hiện ..., còn biểu đồ cột minh họa ...|structure|The pie chart shows food preferences, while the bar chart illustrates restaurant numbers.
Overall, ... was the most popular ..., and ... increased.|Nhìn chung, ... là ... phổ biến nhất, và ... đã tăng.|structure|Overall, Chinese food was the most popular takeaway, and restaurant numbers increased.
... represented roughly a quarter of ...|... chiếm xấp xỉ một phần tư ...|structure|This group represented roughly a quarter of the population.
... was similar in size to ...|... có quy mô tương tự ...|structure|The overweight group was similar in size to the healthy-weight group.
... rose from about ... to nearly ...|... tăng từ khoảng ... lên gần ...|structure|The figure rose from about 500 to nearly 2,000.
@speaking|Useful food basics and taste words|Bổ sung ứng dụng từ SB pp. 64, 75, 78, 80–85; TB pp. 38, 41, 43–46
burger|bánh mì kẹp thịt kiểu burger
chips|khoai tây chiên dạng thanh (Anh-Anh)
salad|rau trộn
mashed potato|khoai tây nghiền
apples|táo
bananas|chuối
beef|thịt bò
biscuits|bánh quy
chocolate|sô-cô-la
cheese|phô mai
egg|trứng
tomatoes|cà chua
yoghurt|sữa chua
onions|hành tây
mouth-watering|ngon hấp dẫn; khiến thèm ăn
unappetising|không ngon mắt; không hấp dẫn
follow a recipe|làm theo công thức nấu ăn
highly trained chef|đầu bếp được đào tạo bài bản
